nome,siglaPartido,Coalizao
Stefano Aguiar,PSD,centrao_mdb
Tabata Amaral,PSB,governo
Tadeu Veneri,PT,governo
Talíria Petrone,PSOL,governo
Tarcísio Motta,PSOL,governo
Thiago de Joaldo,PP,centrao_uniao
Thiago Flores,REPUBLICANOS,centrao_mdb
Tião Medeiros,PP,centrao_uniao
Tiririca,PL,oposicao
Toninho Wandscheer,PP,centrao_uniao
Túlio Gadêlha,REDE,governo
Ulisses Guimarães,MDB,centrao_mdb
Valmir Assunção,PT,governo
Vander Loubet,PT,governo
Vermelho,PL,oposicao
Vicentinho,PT,governo
Vicentinho Júnior,PP,centrao_uniao
Vinicius Carvalho,REPUBLICANOS,centrao_mdb
Vinicius Gurgel,PL,oposicao
Vitor Lippi,PSDB,centrao_uniao
Waldemar Oliveira,AVANTE,centrao_uniao
Waldenor Pereira,PT,governo
Washington Quaquá,PT,governo
Weliton Prado,SOLIDARIEDADE,centrao_uniao
Wellington Roberto,PL,oposicao
Welter,PT,governo
Yandra Moura,UNIÃO,centrao_uniao
Yury do Paredão,MDB,centrao_mdb
Zé Haroldo Cathedral,PSD,centrao_mdb
Zé Neto,PT,governo
Zé Silva,SOLIDARIEDADE,centrao_uniao
Zé Trovão,PL,oposicao
Zé Vitor,PL,oposicao
Zeca Dirceu,PT,governo
Zezinho Barbary,PP,centrao_uniao
Zucco,PL,oposicao
